site,transect,transect_ID,Id,lat,long,orientation,quad,soil_ph,soil_moist,par,height_1,height_2,height_3,height_4,avg_height,heather,bilberry,lingonberry,sitka_spruce,silver_birch,orchid,bedstraw,bracken,lichen_1,lichen_2,lichen_3,lichen_4,lichen_5,deadwood,bare_ground,grass_1,grass_2,grass_3,grass_4,grass_5,grass_6,grass_7,grass_8,grass_9,moss_1,moss_2,moss_3,moss_4,rush_1,rush_2,rush_3,COMMENTS,plant_richness,coleoptera,aranea,hymenoptera,collembola,hemiptera,diptera,isopoda,acari,opiliones,larvae,psocoptera,pulmonata,achatinoidea,dictyoptera,dermaptera,julida,invert_richness
1,A,1A(30),1A,57.191612,-3.73649,SE,30,3.35,10,952,56,49,27,37,42.25,0.7,0.1,,0.05,,,,,0.05,0.025,,,,,,0.025,,,,,,,,,,,,,0.025,,,,7,3,1,6,2,,2,,,,,,,,,,,5
1,A,1A(15),1A,57.191671,-3.736720,SE,15,2.98,10,1020,13,23,18,11,16.25,0.15,0.8,,,0.025,,,,,,,,,0.45,,,,,,,,,,,0.45,,,,,,,,4,,1,1,1,2,1,,,,,,,,,,,5
1,A,1A(0),1A,57.191733,-3.736976,SE,0,3.05,10,920,23,51,35,37,36.5,0.1,0.1,0.7,0.4,,,,,,0.025,,,,0.1,,,,,,,,,,,0.8,,,,,,,quad under the canopy,6,1,3,7,5,,5,1,,,,,,,,,,6
1,A,1A(-15),1A,57.191790,-3.737137,SE,-15,2.91,4.8,231,4,4,3,3,3.5,,,,0.1,,,,,0.05,,,,,0.05,,,,,,,,,,,0.95,,,,,,,quad under the canopy,3,5,3,11,,,3,,,,,,,,,,,4
1,A,1A(-30),1A,57.191861,-3.737252,SE,-30,3.25,8,75,0,3,0,0,0.75,,,0.025,,,,,,,,,,,0.4,0.15,,,,,,,,,,0.5,0.25,0.4,,,,,quad under the canopy,4,4,3,4,5,,3,,,1,,,,,,,,6
1,B,1B(30),1B,57.191424,-3.736793,SE,30,,8.6,1040,26,7,37,9,19.75,0.15,,,,,,,,,,,,,,0.25,0.05,0.2,,,,,,,,0.45,0.05,,,,,, ,5,1,4,5,1,,3,,,,,,,,,,,5
1,B,1B(15),1B,57.191509,-3.737023,SE,15,,6,1051,46,22,0,11,19.75,0.4,0.15,0.3,,,,,,,,,,,,,0.1,,,,,,,,,0.8,0.025,,,,,,,6,1,1,2,,,2,,1,,,,,,,,,5
1,B,1B(0),1B,57.191566,-3.737180,SE,0,,2.4,650,0,4,7,34,11.25,0.3,,,,,,,,,,,,,0.05,,,,,,,,,,,0.7,,,,,,,,2,2,3,1606,,2,,,,,,,,,,,,4
1,B,1B(-15),1B,57.191651,-3.737349,SE,-15,,5.9,210,4,7,9,15,8.75,,,,,,,,,,,,,,0.025,,,,,,,,,,,0.1,,,0.9,,,,,2,,1,154,2,,2,,,1,1,,,,,,,6
1,B,1B(-30),1B,57.191729,-3.737513,SE,-30,,10,14,6,2,1,0,2.25,,,,,,,,,,,,,0.2,0.1,,,,,,,,,,,0.1,,,0.9,,,,,3,,,678,4,,,,,1,,1,,,,,,4
2,A,2A(30),2A,57.185648,-3.725098,SE,30,,3.9,1114,40,55,29,92,54,,,,0.2,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,2,3,3,6,3,1,,,,,,,,,,,,5
2,A,2A(15),2A,57.185715,-3.725279,SE,15,,4,1270,8,23,77,17,31.25,,,,,,,,,,,,,,0.3,,,,0.025,0.7,,,,,,0.3,,,,,,,,3,5,11,17,18,2,,,8,1,3,,,,1,5,1,11
2,A,2A(0),2A,57.185792,-3.725434,SE,0,,3.9,180,0,0,0,0,0,,,,,,,,0.025,0.1,,0.025,,,0.4,0.5,,,0.025,,,,,,,0.025,0.8,,,,,,,6,,1,6,2,,1,,,1,,,,,,,,5
2,A,2A(-15),2A,57.185851,-3.725645,SE,-15,,3,0,0,0,0,0,0,,,,,,,,,,,,,,0.75,0.9,,,,,,,,,,,,,,,,,,0,,4,,2,1,,,,,,,,,,,,3
2,A,2A(-30),2A,57.185908,-3.725833,SE,-30,,2.8,0,0,0,0,0,0,,,,,,,,,,,,,,0.1,0.6,,,,,,,,,,,,0.025,,,,,,1,,2,,1,,,,,,,,,,,,,2
2,B,2B(30),2B,57.185388,-3.725292,SE,30,,4,1330,50,27,21,15,28.25,,,,,,,0.6,,,,,,,,,,,,0.4,,0.35,,,,,,0.3,,0.025,0.025,,ditch through the quad,6,,7,4,14,5,7,,3,,,,,,,,,6
2,B,2B(15),2B,57.185442,-3.725476,SE,15,,8,1270,35,31,41,21,32,,,,,,,,,,,,,,,,,,0.025,0.4,0.8,,,,,,,,,,,,,3,,1,3,,,4,,,,,,,,,,,3
2,B,2B(0),2B,57.185508,-3.725664,SE,0,,2,1276,32,8,4,8,13,0.7,,,,,,,,,,,,,,,,0.4,,,,,,,,0.5,0.2,0.025,,,,,,5,1,,58,61,,2,,8,,2,4,,,,,,7
2,B,2B(-15),2B,57.185575,-3.725843,SE,-15,,4.5,79,0,0,0,0,0,,,,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,0.1,,,,,,2,4,3,4,8,,3,,,4,,,,,,,,6
2,B,2B(-30),2B,57.185652,-3.726024,SE,-30,,5.4,3,0,0,0,0,0,,,,,,,,,,0.025,,,,1,,,,,,,,,,,,,0.025,,,,,,2,,3,2,12,,2,,,,,,,,,,,4
3,A,3A(30),3A,57.177280,-3.711271,SW,30,,10,1392,46,49,46,14,38.75,0.8,0.2,0.4,,,,,,,,,0.025,,,,,,,,,,,,,0.3,,,,,,,,5,2,2,2,,,2,,,,,,,,,,,4
3,A,3A(15),3A,57.177402,-3.711097,SW,15,,10,1051,11,11,37,61,30,0.25,0.2,0.7,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,4,,5,,6,3,1,,1,1,1,,,,,,,7
3,A,3A(0),3A,57.177485,-3.710928,SW,0,,9.8,942,6,12,4,25,11.75,0.05,,0.6,,,,,,,,,,,0.15,,,,,,,,,0.05,,0.2,,,,,,,,4,,1,2,6,,1,,1,,,,,,,,,5
3,A,3A(-15),3A,57.177540,-3.710782,SW,-15,,10,458,19,5,28,8,15,0.15,0.05,0.025,,,,,,,,,,,,,,,,,,,,0.5,,0.4,,,,,,,boggy,5,2,1,3,,,1,,,,,,,,,,,4
3,A,3A(-30),3A,57.177610,-3.710660,SW,-30,,9.8,26,4,0,0,0,1,,,,0.025,,,,,,,,,,0.9,,,,,,,,,,0.025,,0.025,0.1,,,,,boggy,4,2,1,,,,2,,,,,,,,,,,3
