code,latin_name,code_two,type,ever_dec,lat,long,age,dbh,canopy_pos,chl,lma,ldcm,A,Dark_resp,E,g,comments
CB,Cotoneaster bullatus,CB,Alien,Evergreen,55.964767,-3.207967,17,4.3,U,47.7,103.8602,0.2684,12.40,-0.78,4.19,83.48,
CB,Cotoneaster bullatus,CB,Alien,Evergreen,55.964767,-3.207967,17,4.3,U,47.7,93.0271,0.3071,10.95,-0.19,6.13,80.85,
CB,Cotoneaster bullatus,CB,Alien,Evergreen,55.964767,-3.207967,17,4.3,U,48.6,97.6425,0.1448,11.35,-0.29,5.64,97.84,
CB,Cotoneaster bullatus,CB,Alien,Evergreen,55.964767,-3.207967,17,4.3,L,63.8,80.2682,0.5061,10.38,0.19,4.65,94.81,
CB,Cotoneaster bullatus,CB,Alien,Evergreen,55.964767,-3.207967,17,4.3,L,60.1,76.4573,0.3996,7.03,-0.04,5.95,97.98,
CB,Cotoneaster bullatus,CB,Alien,Evergreen,55.964767,-3.207967,17,4.3,L,60.1,77.3469,0.4238,9.14,-0.28,4.88,96.18,
QC,Quercus cerris,QC,Alien,Evergreen,55.96545,-3.212100,54,76,U,55,66.4448,0.3195,11.50,-1.83,5.65,76.65,
QC,Quercus cerris,QC,Alien,Evergreen,55.96545,-3.212100,54,76,U,50,66.0074,0.3393,12.82,-0.16,6.18,72.02,
QC,Quercus cerris,QC,Alien,Evergreen,55.96545,-3.212100,54,76,U,56.4,71.5474,0.3623,9.88,-0.26,6.36,66.30,
QC,Quercus cerris,QC,Alien,Evergreen,55.96545,-3.212100,54,76,L,53,83.5858,0.4392,9.78,-1.43,5.31,71.10,
QC,Quercus cerris,QC,Alien,Evergreen,55.96545,-3.212100,54,76,L,48.3,79.9918,0.3752,8.85,-1.22,7.74,62.35,
QC,Quercus cerris,QC,Alien,Evergreen,55.96545,-3.212100,54,76,L,49,80.2381,0.3389,9.54,-0.92,5.23,94.13,
QI,Quercus ilex,QI,Alien,Evergreen,55.976867,-3.168267,54,131,U,44.3,69.8136,0.2518,9.03,-0.37,5.19,79.50,
QI,Quercus ilex,QI,Alien,Evergreen,55.976867,-3.168267,54,131,U,47.1,72.5434,0.2529,7.37,-0.43,6.75,70.53,
QI,Quercus ilex,QI,Alien,Evergreen,55.976867,-3.168267,54,131,U,46.8,67.8750,0.2045,9.32,-0.25,4.84,87.02,
QI,Quercus ilex,QI,Alien,Evergreen,55.976867,-3.168267,54,131,L,49.6,61.9332,0.2371,8.03,-1.31,4.21,63.27,
QI,Quercus ilex,QI,Alien,Evergreen,55.976867,-3.168267,54,131,L,50.1,74.0521,0.3759,9.93,-1.15,6.68,68.61,
QI,Quercus ilex,QI,Alien,Evergreen,55.976867,-3.168267,54,131,L,47.8,72.6590,0.2037,7.77,-1.40,5.92,67.67,
RPS,Robinia pseudoacacia semperflorens,RPS,Alien,Deciduous,55.9659,-3.211483,120,75,U,30.8,76.1191,0.4800,14.56,-1.22,6.50,66.24,
RPS,Robinia pseudoacacia semperflorens,RPS,Alien,Deciduous,55.9659,-3.211483,120,75,U,32.1,67.5914,0.5324,13.57,-1.33,5.50,71.57,
RPS,Robinia pseudoacacia semperflorens,RPS,Alien,Deciduous,55.9659,-3.211483,120,75,U,30.4,71.9639,0.5430,11.69,-1.37,5.49,69.52,
RPS,Robinia pseudoacacia semperflorens,RPS,Alien,Deciduous,55.9659,-3.211483,120,75,L,29.4,56.4919,0.4248,12.02,-1.15,6.73,61.76,
RPS,Robinia pseudoacacia semperflorens,RPS,Alien,Deciduous,55.9659,-3.211483,120,75,L,29.7,58.9724,0.3495,10.85,-1.01,6.88,59.96,
RPS,Robinia pseudoacacia semperflorens,RPS,Alien,Deciduous,55.9659,-3.211483,120,75,L,28.6,57.9093,0.5306,11.20,-0.64,5.11,62.55,
RP,Rhododendron ponticum,Invasive,Invasive,Evergreen,55.96655,-3.209983,46,11,U,58,84.1799,0.4601,16.72,0.35,5.30,83.45,
RP,Rhododendron ponticum,Invasive,Invasive,Evergreen,55.96655,-3.209983,46,11,U,56.3,81.4563,0.4903,14.19,-0.04,4.95,98.36,
RP,Rhododendron ponticum,Invasive,Invasive,Evergreen,55.96655,-3.209983,46,11,U,57.5,78.2989,0.4991,15.94,0.26,5.73,82.33,
RP,Rhododendron ponticum,Invasive,Invasive,Evergreen,55.96655,-3.209983,46,11,L,65.7,96.6524,0.4169,15.46,-0.11,5.64,77.21,
RP,Rhododendron ponticum,Invasive,Invasive,Evergreen,55.96655,-3.209983,46,11,L,64.1,92.0530,0.5133,13.64,-0.27,6.84,79.95,
RP,Rhododendron ponticum,Invasive,Invasive,Evergreen,55.96655,-3.209983,46,11,L,64.2,89.2842,0.5925,13.53,-0.07,6.77,94.14,
AG,Alnus glutinosa,Native,Native,Deciduous,55.980617,-3.208083,55,68,U,50.5,63.6801,0.3631,15.76,-0.34,7.68,76.15,
AG,Alnus glutinosa,Native,Native,Deciduous,55.980617,-3.208083,55,68,U,50,65.5397,0.3870,-0.12,-0.37,3.27,35.20,leaves_dead
AG,Alnus glutinosa,Native,Native,Deciduous,55.980617,-3.208083,55,68,U,50.4,64.0598,0.4942,15.66,-0.44,5.98,70.25,
AG,Alnus glutinosa,Native,Native,Deciduous,55.980617,-3.208083,55,68,L,42.7,69.4429,0.3240,13.06,0.06,5.51,79.91,
AG,Alnus glutinosa,Native,Native,Deciduous,55.980617,-3.208083,55,68,L,48.3,64.0459,0.3536,12.46,0.01,7.35,72.04,
AG,Alnus glutinosa,Native,Native,Deciduous,55.980617,-3.208083,55,68,L,43.1,68.8090,0.3414,-0.35,-0.05,3.11,46.18,leaves_dead
BP,Betula pendula,Native,Native,Deciduous,55.963467,-3.208183,60,30,U,38.9,67.1820,0.3767,15.49,-1.19,4.28,80.01,
BP,Betula pendula,Native,Native,Deciduous,55.963467,-3.208183,60,30,U,38.4,68.1443,0.4590,13.92,-1.29,4.60,81.07,
BP,Betula pendula,Native,Native,Deciduous,55.963467,-3.208183,60,30,U,39.8,70.4617,0.4697,11.16,-1.01,3.88,77.27,
BP,Betula pendula,Native,Native,Deciduous,55.963467,-3.208183,60,30,L,43.2,54.3723,0.3446,14.21,-1.44,6.04,65.56,
BP,Betula pendula,Native,Native,Deciduous,55.963467,-3.208183,60,30,L,43.2,48.5914,0.2627,12.44,-1.35,5.93,78.97,
BP,Betula pendula,Native,Native,Deciduous,55.963467,-3.208183,60,30,L,46.5,47.1358,0.2586,13.73,-0.93,6.13,67.48,
BPS,Betula pubescens,Native,Native,Deciduous,55.96365,-3.208167,47,27.5,U,53.9,56.7663,0.3995,17.66,-0.31,8.33,67.73,
BPS,Betula pubescens,Native,Native,Deciduous,55.96365,-3.208167,47,27.5,U,52.3,61.6920,0.2591,15.37,0.04,7.33,80.59,
BPS,Betula pubescens,Native,Native,Deciduous,55.96365,-3.208167,47,27.5,U,55.3,55.0628,0.3676,14.79,-0.20,7.14,86.18,
BPS,Betula pubescens,Native,Native,Deciduous,55.96365,-3.208167,47,27.5,L,49.3,68.3329,0.4077,16.26,0.45,4.66,73.63,
BPS,Betula pubescens,Native,Native,Deciduous,55.96365,-3.208167,47,27.5,L,48.2,66.2417,0.3761,15.45,0.38,3.95,86.09,
BPS,Betula pubescens,Native,Native,Deciduous,55.96365,-3.208167,47,27.5,L,49.5,64.4431,0.3015,14.27,0.40,3.70,59.25,
CA,Corylus avellana,Native,Native,Deciduous,55.963817,-3.208217,120,26.5,U,44.7,83.4937,0.4204,16.06,0.71,8.56,79.39,
CA,Corylus avellana,Native,Native,Deciduous,55.963817,-3.208217,120,26.5,U,47.9,67.5309,0.4119,12.22,0.36,6.95,61.99,
CA,Corylus avellana,Native,Native,Deciduous,55.963817,-3.208217,120,26.5,U,50.3,85.9297,0.3107,15.08,-0.18,7.15,57.02,
CA,Corylus avellana,Native,Native,Deciduous,55.963817,-3.208217,120,26.5,L,39.5,55.9410,0.4025,13.83,-0.01,5.68,72.06,
CA,Corylus avellana,Native,Native,Deciduous,55.963817,-3.208217,120,26.5,L,39.1,53.9999,0.4996,15.33,0.22,6.92,67.20,
CA,Corylus avellana,Native,Native,Deciduous,55.963817,-3.208217,120,26.5,L,32.8,52.8365,0.3224,8.64,0.38,4.43,72.55,
CM,Crataegus monogyna,Native,Native,Deciduous,55.966417,-3.212567,19,8,U,46.3,44.0508,0.4322,11.05,-1.56,5.66,69.19,
CM,Crataegus monogyna,Native,Native,Deciduous,55.966417,-3.212567,19,8,U,41.1,48.5455,0.5460,13.77,-1.43,5.33,68.58,
CM,Crataegus monogyna,Native,Native,Deciduous,55.966417,-3.212567,19,8,U,42.1,47.4608,0.4700,13.95,-1.15,5.19,69.85,
CM,Crataegus monogyna,Native,Native,Deciduous,55.966417,-3.212567,19,8,L,38.9,42.6684,0.4347,8.25,-1.56,6.00,64.68,
CM,Crataegus monogyna,Native,Native,Deciduous,55.966417,-3.212567,19,8,L,34.3,39.6968,0.3549,7.44,-1.11,7.53,67.00,
CM,Crataegus monogyna,Native,Native,Deciduous,55.966417,-3.212567,19,8,L,37.4,35.8114,0.3308,8.79,-1.08,6.51,68.10,
EE,Euonymus europaeus,Native,Native,Deciduous,55.963383,-3.209200,15,5.3,U,38.8,61.0075,0.3030,12.51,0.58,6.58,69.52,
EE,Euonymus europaeus,Native,Native,Deciduous,55.963383,-3.209200,15,5.3,U,40.1,64.9365,0.2780,13.51,0.36,5.42,57.91,
EE,Euonymus europaeus,Native,Native,Deciduous,55.963383,-3.209200,15,5.3,U,40,63.5056,0.4606,10.16,0.31,7.94,61.80,
EE,Euonymus europaeus,Native,Native,Deciduous,55.963383,-3.209200,15,5.3,L,43.2,69.1194,0.2927,10.89,-0.34,5.35,59.27,
EE,Euonymus europaeus,Native,Native,Deciduous,55.963383,-3.209200,15,5.3,L,41.5,72.3782,0.3176,11.52,0.02,4.33,83.26,
EE,Euonymus europaeus,Native,Native,Deciduous,55.963383,-3.209200,15,5.3,L,41.6,65.2145,0.4123,13.05,-0.40,4.42,70.88,
FE,Fraxinus excelsior,Native,Native,Deciduous,55.96665,-3.211100,32,68,U,44.3,92.4484,0.4148,7.53,-0.26,7.76,60.03,
FE,Fraxinus excelsior,Native,Native,Deciduous,55.96665,-3.211100,32,68,U,42.6,94.8508,0.3227,7.39,-0.38,6.95,68.58,
FE,Fraxinus excelsior,Native,Native,Deciduous,55.96665,-3.211100,32,68,U,42.9,88.1474,0.4336,8.04,-0.33,5.85,71.00,
FE,Fraxinus excelsior,Native,Native,Deciduous,55.96665,-3.211100,32,68,L,44.5,70.4075,0.3878,8.03,-0.87,4.15,76.96,
FE,Fraxinus excelsior,Native,Native,Deciduous,55.96665,-3.211100,32,68,L,43.1,68.0410,0.4211,9.50,-0.53,4.96,95.27,
FE,Fraxinus excelsior,Native,Native,Deciduous,55.96665,-3.211100,32,68,L,44.9,73.7011,0.3888,7.46,-0.41,4.80,82.47,
FS,Fagus sylvatica,Native,Native,Deciduous,55.96455,-3.209333,55,95.5,U,33.6,82.4800,0.4838,12.37,-0.10,5.12,72.14,
FS,Fagus sylvatica,Native,Native,Deciduous,55.96455,-3.209333,55,95.5,U,34.1,81.5154,0.3801,8.69,0.28,4.45,87.25,
FS,Fagus sylvatica,Native,Native,Deciduous,55.96455,-3.209333,55,95.5,U,28.5,84.1884,0.4523,10.07,-0.18,5.89,70.14,
FS,Fagus sylvatica,Native,Native,Deciduous,55.96455,-3.209333,55,95.5,L,42.8,45.8939,0.4466,13.34,-0.19,5.40,70.52,
FS,Fagus sylvatica,Native,Native,Deciduous,55.96455,-3.209333,55,95.5,L,43.6,57.6247,0.3588,10.12,0.03,4.82,56.50,
FS,Fagus sylvatica,Native,Native,Deciduous,55.96455,-3.209333,55,95.5,L,44.1,59.0661,0.4478,8.33,0.13,4.46,68.36,
IA,Ilex aquifolium,Native,Native,Evergreen,55.965017,-3.210417,55,3.9,U,71.3,146.8973,0.3537,7.24,-0.07,4.47,84.33,missing_ea
IA,Ilex aquifolium,Native,Native,Evergreen,55.965017,-3.210417,55,3.9,U,65.2,151.7445,0.2769,6.59,0.09,3.95,57.79,
IA,Ilex aquifolium,Native,Native,Evergreen,55.965017,-3.210417,55,3.9,U,73.1,134.2385,0.3479,8.20,-0.14,5.00,85.17,
IA,Ilex aquifolium,Native,Native,Evergreen,55.965017,-3.210417,55,3.9,L,66.1,125.7935,0.3809,5.98,-0.19,3.27,80.03,
IA,Ilex aquifolium,Native,Native,Evergreen,55.965017,-3.210417,55,3.9,L,67.5,118.9255,0.4200,6.13,-0.38,4.06,71.98,
IA,Ilex aquifolium,Native,Native,Evergreen,55.965017,-3.210417,55,3.9,L,65.5,119.4062,0.4558,6.34,0.05,4.28,88.35,
PA,Populous alba,Native,Native,Deciduous,55.963933,-3.208517,54,11,U,46.6,61.4683,0.4025,15.09,-1.30,2.33,65.07,
PA,Populous alba,Native,Native,Deciduous,55.963933,-3.208517,54,11,U,48,60.0654,0.5281,14.18,-1.38,3.19,81.04,
